palavra,relevancia
de,9.61365428923522
as,8.305986283728075
em,7.977755406852133
a,7.872478487558453
in,7.8050706931966305
e,7.5018652268738535
tênis,7.326149693455123
o,7.201124281417479
para,6.9975348654097855
do,6.995363746426059
da,6.882640507358749
tela,6.844258537134623
nike,6.788386659805719
cep,6.586120270158962
feminino,6.360493192858307
chuteira,6.295859834798104
no,6.2699941331101545
adidas,6.266311241433424
mais,6.258323718581955
entrega,6.207542590161582
masculino,6.094846332171108
new,6.067107090877645
é,6.046562722870346
netshoes,6.035380960005438
na,6.032405943667745
não,5.953388766364326
produto,5.854614676522273
essa,5.693628176660553
ou,5.6832846798752525
grátis,5.681457451835219
os,5.612220226274227
qualquer,5.607855106590385
time,5.574972044972634
todas,5.571178203463803
black,5.5704798086509335
preço,5.5264786247035875
resultado,5.478300433555398
dos,5.468941640640362
por,5.452931434401826
um,5.402164459035053
até,5.401974558161
conferir,5.380682593211729
internet,5.360994264718495
sem,5.337958299092624
mizuno,5.285388932650345
air,5.285388932650345
article,5.259409911169823
max,5.145156161564145
trade,5.137817088425157
prazo,5.122595672437975
casual,5.120465991287779
pés,5.092767813652849
são,5.091106354504819
frete,5.08532280583808
produtos,5.063231376301506
ver,5.057910537443251
balance,5.057910537443251
confira,5.052786953180771
nenhum,5.047947972689878
cabeça,5.047947972689878
empresas,5.047947972689878
consulte,5.043506008969492
friday,5.043506008969492
masculina,5.043506008969492
selecionados,5.043506008969492
guia,5.043506008969492
vendas,5.043506008969492
regras,5.043506008969492
alterar,5.043506008969492
disponibilidade,5.043506008969492
marcas,5.003323853961959
das,4.945608607986368
seu,4.894876442541265
asics,4.857177163115822
sobre,4.789682435989903
pra,4.779498682824433
x,4.745448866433782
esse,4.727267078306393
todos,4.723082647553303
suas,4.710032957763926
camisas,4.710032957763926
veja,4.693025098664732
brasil,4.673135573243737
aqui,4.673135573243737
puma,4.661771464378995
digital,4.661771464378995
olympikus,4.616880730053643
expressa,4.594561404741133
juros,4.594561404741133
paulo,4.584055566718132
dia,4.525920273091893
converse,4.525920273091893
ainda,4.523293134376859
cartão,4.497285267383897
desconto,4.471264858072451
futebol,4.434976018781113
data,4.434437965945294
tipo,4.434437965945294
quando,4.406121960411877
termos,4.39983984308371
